neighbourhood_group,neighbourhood,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,has_review,price
Brooklyn,Bedford-Stuyvesant,Private room,1,27,0.28,4,311,1,165
Manhattan,Morningside Heights,Entire home/apt,3,10,0.38,1,0,1,185
Manhattan,Upper East Side,Entire home/apt,3,3,3.0,1,150,1,229
Manhattan,Harlem,Private room,4,7,2.26,1,32,1,45
Queens,Ridgewood,Private room,30,1,0.29,23,318,1,37
Brooklyn,Park Slope,Entire home/apt,2,24,0.38,1,255,1,140
Brooklyn,East Flatbush,Private room,3,2,0.24,5,267,1,70
Queens,Long Island City,Private room,14,20,0.61,4,2,1,55
Manhattan,East Village,Entire home/apt,1,2,0.04,1,0,1,175
Manhattan,Morningside Heights,Private room,3,13,0.59,2,61,1,85
Queens,Rockaway Beach,Entire home/apt,1,0,,1,88,0,150
Brooklyn,Bedford-Stuyvesant,Entire home/apt,1,197,3.19,3,209,1,150
Brooklyn,Bedford-Stuyvesant,Entire home/apt,30,62,1.2,3,280,1,90
Manhattan,Hell's Kitchen,Entire home/apt,30,0,,7,354,0,190
Brooklyn,Park Slope,Entire home/apt,5,2,0.76,1,9,1,125
Brooklyn,Crown Heights,Entire home/apt,2,6,0.79,2,2,1,185
Brooklyn,Crown Heights,Private room,1,0,,1,0,0,50
Brooklyn,Williamsburg,Private room,1,0,,1,0,0,95
Queens,Rockaway Beach,Entire home/apt,2,2,0.14,2,0,1,86
Manhattan,Upper East Side,Entire home/apt,2,1,0.06,1,9,1,190
Brooklyn,Flatbush,Private room,1,12,1.3,1,179,1,95
Brooklyn,Bushwick,Entire home/apt,3,5,0.2,1,0,1,135
Brooklyn,Bedford-Stuyvesant,Entire home/apt,3,4,0.21,1,0,1,88
Brooklyn,Crown Heights,Entire home/apt,2,1,1.0,1,87,1,140
Brooklyn,East Flatbush,Entire home/apt,2,157,3.18,2,342,1,100
Brooklyn,Carroll Gardens,Entire home/apt,4,128,2.89,2,0,1,155
Manhattan,Harlem,Entire home/apt,2,26,3.05,1,343,1,159
Brooklyn,Brooklyn Heights,Entire home/apt,5,0,,1,0,0,115
Brooklyn,Williamsburg,Entire home/apt,31,1,1.0,1,90,1,250
Manhattan,Midtown,Entire home/apt,1,0,,1,341,0,165
Manhattan,Nolita,Private room,6,3,0.07,1,0,1,80
Manhattan,Inwood,Shared room,6,0,,1,0,0,90
Manhattan,East Village,Entire home/apt,3,7,0.91,1,4,1,145
Brooklyn,Boerum Hill,Private room,1,38,3.83,3,47,1,70
Manhattan,Upper West Side,Private room,2,8,0.26,1,0,1,75
Manhattan,Hell's Kitchen,Entire home/apt,30,3,0.07,5,339,1,70
Queens,Elmhurst,Private room,1,2,2.0,1,23,1,35
Brooklyn,Bedford-Stuyvesant,Private room,3,0,,1,48,0,32
Manhattan,Kips Bay,Entire home/apt,30,1,1.0,91,352,1,125
Manhattan,Upper West Side,Entire home/apt,4,4,0.04,1,0,1,195
Brooklyn,Gravesend,Private room,3,67,1.53,2,40,1,70
Manhattan,East Village,Entire home/apt,3,0,,1,0,0,164
Manhattan,Hell's Kitchen,Entire home/apt,2,8,0.18,1,181,1,300
Brooklyn,Crown Heights,Private room,2,25,2.49,1,179,1,50
Manhattan,Washington Heights,Private room,1,86,1.94,1,0,1,60
Manhattan,East Village,Entire home/apt,3,3,3.0,1,128,1,400
Manhattan,Hell's Kitchen,Entire home/apt,2,53,2.51,2,223,1,200
Manhattan,Little Italy,Private room,28,26,1.99,3,147,1,70
Manhattan,Harlem,Private room,1,63,1.74,2,0,1,60
Brooklyn,Greenpoint,Private room,2,7,0.34,1,0,1,98
Brooklyn,Williamsburg,Private room,1,122,4.82,2,11,1,65
Queens,Ditmars Steinway,Entire home/apt,14,0,,1,189,0,100
Manhattan,Hell's Kitchen,Entire home/apt,29,0,,327,334,0,184
Bronx,Parkchester,Entire home/apt,1,8,4.71,1,51,1,100
Brooklyn,Sunset Park,Private room,1,27,1.64,5,168,1,30
Brooklyn,Bushwick,Entire home/apt,3,3,0.42,1,26,1,82
Manhattan,East Village,Entire home/apt,2,110,4.9,1,0,1,200
Queens,Flushing,Private room,1,63,3.94,3,156,1,50
Manhattan,Upper West Side,Private room,1,39,0.83,5,157,1,152
Brooklyn,Greenpoint,Entire home/apt,1,6,0.5,1,6,1,124
Queens,Ditmars Steinway,Private room,2,69,2.65,1,166,1,78
Manhattan,Financial District,Entire home/apt,3,5,0.15,1,0,1,279
Manhattan,East Harlem,Private room,1,6,0.31,1,0,1,85
Brooklyn,Bedford-Stuyvesant,Private room,3,1,0.05,1,0,1,90
Manhattan,Lower East Side,Private room,9,2,0.05,1,0,1,70
Queens,Ridgewood,Private room,5,1,1.0,1,192,1,44
Manhattan,Hell's Kitchen,Entire home/apt,5,5,0.09,1,0,1,125
Brooklyn,Crown Heights,Entire home/apt,1,1,0.03,1,188,1,150
Queens,Elmhurst,Entire home/apt,3,20,4.11,1,101,1,95
Queens,Astoria,Entire home/apt,2,29,5.15,3,116,1,179
Brooklyn,Greenpoint,Entire home/apt,6,6,0.09,1,0,1,134
Brooklyn,South Slope,Entire home/apt,2,0,,1,0,0,350
Manhattan,Upper East Side,Private room,3,199,1.85,1,326,1,75
Brooklyn,Red Hook,Entire home/apt,1,2,0.04,1,0,1,100
Manhattan,Upper East Side,Entire home/apt,1,3,0.09,1,0,1,199
Brooklyn,Bath Beach,Private room,1,0,,2,364,0,59
Brooklyn,Clinton Hill,Entire home/apt,2,93,4.15,1,43,1,129
Brooklyn,Williamsburg,Private room,7,34,1.26,1,259,1,55
Queens,Rego Park,Entire home/apt,10,0,,1,0,0,65
Brooklyn,South Slope,Entire home/apt,7,2,0.04,1,0,1,190
Brooklyn,South Slope,Entire home/apt,3,76,2.75,1,248,1,90
Manhattan,Upper West Side,Entire home/apt,5,0,,1,0,0,200
Queens,Astoria,Shared room,1,10,2.36,7,313,1,36
Manhattan,East Harlem,Private room,29,40,1.14,2,0,1,50
Manhattan,Theater District,Entire home/apt,29,0,,327,365,0,227
Manhattan,East Village,Private room,1,191,3.17,1,0,1,130
Manhattan,Washington Heights,Entire home/apt,4,0,,2,67,0,91
Brooklyn,Sunset Park,Entire home/apt,5,56,3.78,3,10,1,135
Brooklyn,Greenpoint,Private room,3,2,0.06,3,0,1,65
Queens,Flushing,Private room,1,2,0.22,5,90,1,65
Manhattan,Chelsea,Entire home/apt,30,195,4.26,1,270,1,270
Brooklyn,Williamsburg,Entire home/apt,4,5,0.14,1,0,1,149
Manhattan,Upper East Side,Private room,30,79,2.08,6,246,1,90
Brooklyn,Williamsburg,Entire home/apt,3,82,0.7,1,140,1,228
Queens,Jamaica,Entire home/apt,3,6,3.05,1,37,1,64
Brooklyn,Sunset Park,Private room,1,0,,3,89,0,60
Brooklyn,Bushwick,Private room,2,78,1.79,1,206,1,120
Queens,Flushing,Private room,1,1,1.0,6,83,1,45
Brooklyn,Bedford-Stuyvesant,Private room,1,71,1.06,15,314,1,61
Manhattan,Harlem,Entire home/apt,2,15,4.21,1,22,1,181
Brooklyn,Sunset Park,Private room,21,0,,1,0,0,45
Brooklyn,Bedford-Stuyvesant,Private room,4,1,0.04,1,0,1,60
Brooklyn,Canarsie,Private room,4,4,0.23,4,37,1,40
Queens,South Ozone Park,Private room,1,124,7.98,3,160,1,75
Queens,St. Albans,Private room,2,4,0.29,5,180,1,59
Brooklyn,Kensington,Entire home/apt,1,4,0.08,1,0,1,95
Manhattan,Harlem,Private room,3,5,0.23,2,89,1,53
Manhattan,Hell's Kitchen,Shared room,1,1,0.21,3,212,1,100
Manhattan,Murray Hill,Entire home/apt,29,0,,327,345,0,190
Queens,Astoria,Private room,1,136,1.81,2,359,1,70
Brooklyn,Bushwick,Entire home/apt,2,41,2.87,1,168,1,125
Brooklyn,Flatbush,Entire home/apt,2,132,3.31,2,233,1,87
Staten Island,St. George,Private room,2,0,,2,356,0,85
Brooklyn,Bensonhurst,Private room,3,0,,1,178,0,60
Manhattan,Upper West Side,Entire home/apt,7,0,,1,0,0,132
Queens,Jackson Heights,Private room,2,17,0.44,1,314,1,65
Manhattan,Harlem,Entire home/apt,1,0,,1,69,0,125
Manhattan,Financial District,Entire home/apt,2,4,0.21,1,0,1,195
Brooklyn,Greenpoint,Entire home/apt,7,0,,1,0,0,210
Manhattan,Harlem,Private room,1,7,0.18,1,0,1,55
Brooklyn,Bedford-Stuyvesant,Private room,1,42,3.99,2,67,1,65
Manhattan,Hell's Kitchen,Entire home/apt,21,193,3.42,1,310,1,107
Manhattan,Harlem,Entire home/apt,7,42,1.14,1,0,1,79
Manhattan,Midtown,Private room,1,9,1.23,11,176,1,399
Queens,East Elmhurst,Entire home/apt,2,9,0.2,2,331,1,89
Manhattan,Upper East Side,Private room,1,1,0.03,1,0,1,100
Manhattan,Kips Bay,Entire home/apt,5,29,0.37,1,188,1,148
Manhattan,Theater District,Entire home/apt,30,0,,49,333,0,175
Manhattan,East Village,Entire home/apt,3,42,0.63,1,330,1,199
Manhattan,Greenwich Village,Entire home/apt,11,14,0.24,1,238,1,334
Manhattan,Chelsea,Entire home/apt,1,75,1.61,1,331,1,215
Brooklyn,Sheepshead Bay,Private room,2,13,1.38,1,71,1,50
Brooklyn,Bedford-Stuyvesant,Private room,10,14,0.31,3,301,1,55
Manhattan,West Village,Private room,1,6,0.18,1,0,1,149
Manhattan,Chinatown,Private room,1,1,0.02,1,0,1,95
Brooklyn,Bushwick,Entire home/apt,3,3,0.48,1,0,1,140
Brooklyn,Bedford-Stuyvesant,Entire home/apt,4,122,3.01,1,236,1,195
Queens,Long Island City,Entire home/apt,7,1,1.0,1,17,1,175
Queens,Jamaica,Private room,1,26,3.84,1,0,1,29
Manhattan,Upper East Side,Entire home/apt,2,7,0.27,1,363,1,249
Brooklyn,Carroll Gardens,Entire home/apt,5,3,0.06,1,0,1,150
Manhattan,East Harlem,Entire home/apt,4,6,0.33,1,0,1,200
Brooklyn,Fort Greene,Entire home/apt,8,4,0.5,1,0,1,150
Manhattan,Kips Bay,Entire home/apt,3,2,0.11,1,2,1,165
Manhattan,Hell's Kitchen,Private room,2,123,2.81,1,124,1,135
Queens,Briarwood,Private room,5,80,1.16,2,298,1,56
Brooklyn,Bedford-Stuyvesant,Private room,1,17,4.51,4,227,1,75
Manhattan,Hell's Kitchen,Private room,2,13,1.82,3,224,1,200
Manhattan,Midtown,Entire home/apt,30,0,,96,0,0,145
Queens,Astoria,Private room,1,42,1.21,2,365,1,80
Queens,Astoria,Entire home/apt,8,0,,1,0,0,125
Queens,Forest Hills,Entire home/apt,2,0,,1,0,0,115
Brooklyn,Bedford-Stuyvesant,Entire home/apt,3,26,3.79,1,93,1,150
Brooklyn,Williamsburg,Private room,1,0,,1,0,0,50
Manhattan,Upper West Side,Private room,4,2,0.19,1,197,1,91
Manhattan,Inwood,Private room,2,2,2.0,1,180,1,45
Queens,East Elmhurst,Private room,1,127,6.94,2,80,1,59
Manhattan,Morningside Heights,Entire home/apt,4,10,0.43,2,0,1,160
Brooklyn,Bedford-Stuyvesant,Entire home/apt,2,92,1.95,2,239,1,189
Brooklyn,Bushwick,Private room,2,31,2.31,2,36,1,40
Brooklyn,Williamsburg,Private room,3,0,,2,0,0,50
Manhattan,Hell's Kitchen,Private room,3,191,3.29,1,161,1,180
Brooklyn,Cypress Hills,Entire home/apt,2,37,2.05,3,14,1,99
Brooklyn,Flatbush,Entire home/apt,3,40,2.02,1,0,1,125
Manhattan,East Village,Entire home/apt,2,0,,1,0,0,190
Queens,Richmond Hill,Private room,1,17,6.71,1,1,1,60
Manhattan,Upper West Side,Entire home/apt,3,29,0.75,1,309,1,85
Staten Island,New Dorp Beach,Private room,1,0,,2,341,0,40
Manhattan,East Harlem,Private room,4,10,3.53,1,24,1,90
Manhattan,West Village,Entire home/apt,2,1,1.0,1,118,1,299
Manhattan,Harlem,Entire home/apt,31,54,0.49,1,209,1,110
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,5,4,0.11,2,0,1,80
Manhattan,Upper West Side,Private room,1,19,5.28,2,58,1,75
Manhattan,Harlem,Private room,3,49,1.26,1,0,1,45
Queens,Kew Gardens Hills,Private room,4,6,0.95,2,111,1,49
Manhattan,Midtown,Entire home/apt,2,0,,1,79,0,245
Manhattan,East Harlem,Private room,1,49,3.89,2,110,1,80
Manhattan,Lower East Side,Entire home/apt,1,1,1.0,1,270,1,200
Bronx,Norwood,Private room,2,1,0.04,1,0,1,29
Brooklyn,Williamsburg,Private room,5,5,0.35,1,0,1,45
Queens,Woodside,Private room,30,1,0.21,103,246,1,33
Brooklyn,Williamsburg,Private room,7,0,,1,0,0,75
Brooklyn,Gravesend,Private room,1,0,,1,0,0,69
Queens,Rosedale,Entire home/apt,2,4,0.97,1,364,1,300
Queens,Astoria,Private room,2,4,0.55,1,0,1,150
Manhattan,Upper West Side,Private room,30,12,0.24,18,364,1,100
Brooklyn,Williamsburg,Entire home/apt,2,53,1.68,1,2,1,250
Manhattan,Kips Bay,Private room,1,1,0.02,1,0,1,85
Manhattan,Upper West Side,Private room,6,5,0.12,1,0,1,40
Manhattan,East Village,Entire home/apt,31,2,0.04,1,358,1,250
Brooklyn,Bushwick,Private room,1,2,0.06,1,0,1,65
Queens,Sunnyside,Private room,5,5,1.26,4,297,1,40
Manhattan,Chinatown,Private room,3,10,0.36,1,0,1,63
Brooklyn,Bushwick,Private room,2,4,0.36,2,0,1,65
Manhattan,Upper West Side,Entire home/apt,1,0,,1,0,0,180
Brooklyn,Columbia St,Entire home/apt,3,10,0.54,1,0,1,140
Brooklyn,Flatbush,Shared room,3,27,1.25,2,1,1,30
Brooklyn,Bedford-Stuyvesant,Entire home/apt,4,8,1.1,1,0,1,84
Manhattan,East Village,Private room,1,2,0.05,1,0,1,50
Queens,Ditmars Steinway,Entire home/apt,14,1,0.16,2,19,1,90
Brooklyn,Borough Park,Private room,1,12,0.65,4,348,1,56
Bronx,Highbridge,Entire home/apt,1,22,1.4,3,1,1,240
Brooklyn,Bushwick,Private room,30,0,,17,268,0,50
Brooklyn,Flatbush,Private room,1,91,1.58,2,99,1,45
Queens,Flushing,Entire home/apt,1,176,5.07,2,316,1,109
Queens,Woodside,Entire home/apt,1,0,,1,0,0,120
Brooklyn,East Flatbush,Entire home/apt,2,4,0.31,1,106,1,150
Brooklyn,Park Slope,Entire home/apt,10,1,0.21,1,264,1,150
Manhattan,West Village,Entire home/apt,4,9,0.14,1,13,1,350
Queens,Ridgewood,Private room,2,177,4.48,2,245,1,80
Queens,Sunnyside,Private room,1,0,,12,365,0,89
Manhattan,Hell's Kitchen,Private room,1,176,3.57,11,248,1,155
Brooklyn,Bedford-Stuyvesant,Entire home/apt,2,24,1.14,1,10,1,130
Brooklyn,Bedford-Stuyvesant,Private room,2,3,0.11,3,0,1,65
Brooklyn,Williamsburg,Entire home/apt,2,0,,1,0,0,200
Manhattan,Tribeca,Entire home/apt,2,116,4.03,1,1,1,259
Manhattan,Gramercy,Private room,3,1,0.03,1,0,1,100
Brooklyn,Williamsburg,Private room,1,13,0.73,3,11,1,85
Brooklyn,Bedford-Stuyvesant,Private room,14,0,,1,123,0,100
Brooklyn,Fort Greene,Private room,8,37,0.5,5,280,1,68
Brooklyn,Williamsburg,Entire home/apt,3,0,,1,0,0,145
Brooklyn,Williamsburg,Entire home/apt,1,5,0.08,1,0,1,150
Brooklyn,Bushwick,Private room,2,3,0.12,1,0,1,90
Manhattan,Financial District,Entire home/apt,2,0,,1,0,0,120
Brooklyn,Kensington,Private room,1,11,0.81,1,0,1,52
Brooklyn,Boerum Hill,Private room,3,1,0.02,1,0,1,110
Manhattan,Kips Bay,Entire home/apt,6,8,4.36,1,158,1,299
Brooklyn,Red Hook,Entire home/apt,7,3,0.13,1,215,1,90
Manhattan,Upper West Side,Private room,2,0,,1,0,0,150
Brooklyn,Bedford-Stuyvesant,Entire home/apt,31,88,0.91,1,164,1,72
Brooklyn,Windsor Terrace,Private room,1,13,0.35,4,0,1,65
Brooklyn,Williamsburg,Private room,14,0,,1,0,0,51
Manhattan,Lower East Side,Entire home/apt,4,92,1.47,1,67,1,225
Queens,Long Island City,Private room,1,13,0.36,2,0,1,70
Brooklyn,Greenpoint,Private room,21,1,1.0,1,343,1,145
Manhattan,East Harlem,Private room,5,47,1.77,1,131,1,79
Brooklyn,Columbia St,Entire home/apt,8,1,0.02,1,0,1,75
Manhattan,Chinatown,Entire home/apt,2,15,3.17,1,207,1,275
Brooklyn,Bushwick,Private room,1,3,0.58,1,319,1,70
Brooklyn,Crown Heights,Private room,1,13,1.15,1,0,1,49
Brooklyn,Bedford-Stuyvesant,Private room,1,41,1.34,4,352,1,40
Manhattan,Lower East Side,Entire home/apt,2,2,0.04,1,0,1,250
Brooklyn,Sheepshead Bay,Private room,3,18,0.54,3,1,1,39
Manhattan,Upper West Side,Entire home/apt,2,0,,1,0,0,250
Manhattan,Midtown,Entire home/apt,14,30,0.35,1,317,1,99
Brooklyn,Williamsburg,Entire home/apt,30,0,,7,126,0,156
Bronx,Belmont,Private room,1,3,1.84,1,319,1,100
Manhattan,East Village,Entire home/apt,2,4,0.19,1,0,1,279
Manhattan,Harlem,Entire home/apt,3,41,0.79,1,258,1,275
Brooklyn,Bedford-Stuyvesant,Private room,10,1,0.05,1,0,1,37
Manhattan,Midtown,Entire home/apt,28,0,,1,82,0,200
Brooklyn,South Slope,Private room,14,8,0.21,1,0,1,65
Brooklyn,Bedford-Stuyvesant,Private room,3,131,2.64,1,140,1,80
Brooklyn,Greenpoint,Entire home/apt,2,9,0.56,1,0,1,175
Manhattan,Harlem,Entire home/apt,2,3,0.24,3,175,1,400
Manhattan,East Harlem,Entire home/apt,7,0,,1,6,0,120
Queens,Astoria,Private room,1,108,2.23,4,0,1,59
Queens,Woodhaven,Private room,2,11,1.24,2,89,1,90
Brooklyn,Gowanus,Entire home/apt,2,0,,1,0,0,104
Manhattan,East Village,Private room,5,35,0.46,1,320,1,95
Brooklyn,Crown Heights,Entire home/apt,7,0,,1,0,0,90
Manhattan,Hell's Kitchen,Entire home/apt,1,0,,1,180,0,330
Queens,Ridgewood,Private room,7,28,1.34,1,157,1,90
Manhattan,Chelsea,Private room,1,10,0.38,4,181,1,125
Bronx,Wakefield,Private room,1,0,,1,163,0,41
Brooklyn,Bedford-Stuyvesant,Entire home/apt,2,2,1.33,1,24,1,75
Brooklyn,Greenpoint,Entire home/apt,2,1,0.02,2,0,1,150
Brooklyn,Williamsburg,Entire home/apt,2,11,0.35,1,0,1,160
Manhattan,SoHo,Entire home/apt,1,0,,3,89,0,194
Brooklyn,Carroll Gardens,Entire home/apt,21,0,,1,0,0,125
Manhattan,Hell's Kitchen,Entire home/apt,5,2,2.0,1,364,1,249
Manhattan,Chelsea,Entire home/apt,30,7,0.25,91,316,1,142
Brooklyn,Park Slope,Private room,15,4,0.13,1,0,1,225
Manhattan,Washington Heights,Private room,2,4,0.16,1,0,1,119
Manhattan,Washington Heights,Shared room,2,13,1.72,1,126,1,125
Brooklyn,Bedford-Stuyvesant,Private room,30,0,,1,43,0,35
Brooklyn,Sheepshead Bay,Private room,3,0,,1,83,0,70
Manhattan,Harlem,Entire home/apt,2,0,,1,40,0,150
Brooklyn,Crown Heights,Private room,1,2,0.16,1,0,1,52
Manhattan,Chelsea,Entire home/apt,21,0,,1,219,0,280
Manhattan,Harlem,Private room,1,2,0.08,1,0,1,55
Manhattan,East Village,Entire home/apt,2,29,1.53,1,15,1,110
Manhattan,Kips Bay,Private room,30,0,,1,83,0,40
Manhattan,Two Bridges,Entire home/apt,3,21,3.64,1,148,1,250
Manhattan,Lower East Side,Private room,4,2,0.28,1,0,1,85
Brooklyn,Greenpoint,Entire home/apt,11,22,0.26,1,0,1,104
Brooklyn,Fort Greene,Entire home/apt,3,17,0.43,1,0,1,150
Bronx,North Riverdale,Private room,1,1,1.0,3,179,1,40
Brooklyn,Bedford-Stuyvesant,Entire home/apt,2,26,3.94,1,21,1,360
Brooklyn,Bushwick,Private room,6,3,0.28,3,13,1,50
Manhattan,Harlem,Entire home/apt,3,9,0.4,2,0,1,65
Manhattan,Harlem,Entire home/apt,7,86,1.84,3,99,1,165
Brooklyn,Williamsburg,Private room,7,11,0.25,1,0,1,80
Brooklyn,Bedford-Stuyvesant,Private room,4,1,0.05,1,0,1,50
Brooklyn,Bushwick,Private room,6,0,,1,0,0,65
Manhattan,Financial District,Private room,2,5,1.24,327,280,1,375
Brooklyn,Greenpoint,Shared room,30,3,0.26,10,312,1,37
Manhattan,Theater District,Entire home/apt,120,0,,1,173,0,89
Brooklyn,Williamsburg,Entire home/apt,7,1,0.11,1,0,1,380
Queens,Woodhaven,Private room,1,141,3.77,4,287,1,45
Queens,Kew Gardens,Entire home/apt,2,1,0.02,1,0,1,100
Manhattan,Hell's Kitchen,Private room,1,2,0.05,1,0,1,60
Brooklyn,Williamsburg,Private room,2,162,3.18,3,332,1,71
Brooklyn,Williamsburg,Entire home/apt,2,62,3.94,5,32,1,249
Manhattan,East Harlem,Entire home/apt,4,5,3.95,1,303,1,200
Brooklyn,Clinton Hill,Entire home/apt,5,2,0.19,1,13,1,120
Brooklyn,Vinegar Hill,Private room,1,0,,1,7,0,75
Manhattan,East Village,Private room,4,25,1.35,1,0,1,130
Manhattan,East Village,Private room,6,3,0.06,1,0,1,75
Manhattan,Harlem,Private room,90,0,,1,365,0,55
Manhattan,Murray Hill,Entire home/apt,1,0,,1,0,0,135
Manhattan,Upper West Side,Entire home/apt,4,46,1.02,1,207,1,190
Manhattan,Lower East Side,Entire home/apt,1,3,0.16,1,0,1,220
Manhattan,Upper East Side,Entire home/apt,8,0,,1,0,0,150
Manhattan,Midtown,Entire home/apt,7,17,0.36,1,0,1,185
Brooklyn,Bedford-Stuyvesant,Private room,1,1,0.03,1,0,1,37
Brooklyn,Fort Greene,Private room,2,6,0.14,1,0,1,70
Manhattan,Hell's Kitchen,Shared room,6,10,0.09,1,363,1,105
Brooklyn,South Slope,Entire home/apt,2,12,0.9,2,0,1,144
Queens,Jackson Heights,Private room,1,4,4.0,2,308,1,55
Manhattan,East Village,Entire home/apt,2,0,,1,0,0,275
Manhattan,Harlem,Entire home/apt,24,2,0.04,1,60,1,105
Manhattan,Greenwich Village,Entire home/apt,2,29,1.91,1,44,1,250
Manhattan,Harlem,Entire home/apt,3,21,4.47,1,30,1,211
Brooklyn,Prospect-Lefferts Gardens,Private room,5,11,0.23,2,0,1,150
Manhattan,Harlem,Entire home/apt,2,4,0.53,1,0,1,120
Brooklyn,Sheepshead Bay,Entire home/apt,1,10,7.89,1,354,1,150
Brooklyn,Fort Greene,Private room,2,35,0.55,2,161,1,85
Brooklyn,Williamsburg,Entire home/apt,3,0,,1,0,0,150
Brooklyn,Williamsburg,Private room,1,48,5.81,2,20,1,102
Brooklyn,Flatbush,Private room,2,91,1.73,2,51,1,47
Manhattan,Hell's Kitchen,Private room,1,70,4.46,2,21,1,90
Manhattan,East Village,Entire home/apt,2,12,3.16,1,32,1,250
Manhattan,Midtown,Private room,2,0,,1,38,0,350
Brooklyn,Bedford-Stuyvesant,Private room,2,13,1.83,4,311,1,60
Brooklyn,Williamsburg,Private room,5,0,,1,0,0,70
Brooklyn,Bushwick,Private room,2,14,1.32,3,87,1,90
Manhattan,Harlem,Entire home/apt,6,5,0.31,1,0,1,100
Brooklyn,Williamsburg,Entire home/apt,3,5,0.11,1,0,1,100
Manhattan,Hell's Kitchen,Private room,17,24,0.45,1,86,1,65
Manhattan,Hell's Kitchen,Shared room,2,18,0.41,1,365,1,100
Brooklyn,South Slope,Private room,1,102,2.56,1,269,1,89
Manhattan,Tribeca,Entire home/apt,14,21,1.08,3,181,1,350
Manhattan,Hell's Kitchen,Private room,30,2,0.07,4,121,1,61
Queens,Jamaica,Private room,1,4,0.27,1,365,1,130
Manhattan,Upper West Side,Entire home/apt,3,3,0.06,1,0,1,200
Manhattan,Murray Hill,Entire home/apt,30,0,,87,115,0,179
Manhattan,Greenwich Village,Entire home/apt,2,29,0.65,1,0,1,200
Brooklyn,Flatlands,Entire home/apt,1,0,,2,363,0,170
Manhattan,Midtown,Entire home/apt,3,1,1.0,1,5,1,140
Manhattan,Harlem,Private room,5,34,4.23,3,40,1,42
Manhattan,Upper West Side,Entire home/apt,1,11,0.26,1,0,1,200
Manhattan,Midtown,Entire home/apt,3,28,2.71,1,333,1,140
Brooklyn,Fort Greene,Entire home/apt,2,4,0.39,2,12,1,250
Manhattan,Theater District,Entire home/apt,4,2,0.31,1,0,1,400
Manhattan,East Village,Entire home/apt,2,21,2.58,1,70,1,229
Queens,Maspeth,Shared room,1,0,,1,245,0,11
Brooklyn,Clinton Hill,Private room,3,103,2.02,1,156,1,129
Manhattan,Hell's Kitchen,Entire home/apt,5,4,2.73,1,167,1,395
Manhattan,East Village,Entire home/apt,7,6,0.78,1,130,1,168
Manhattan,Harlem,Entire home/apt,3,1,0.02,1,0,1,110
Manhattan,Harlem,Private room,1,0,,1,89,0,120
